3910,184.85,284.092,46.1711
722818,190.372,294.943,79.0382
16650,450.263,212.817,60.6433
9335,366.67,145.819,54.723
21423,420.529,153.152,102.884
148882,223.779,126.652,80.5163
127923,388.469,205.731,43.8005
271299,406.405,345.947,52.2054
21340,444.987,311.928,69.2182
98768,361.701,314.027,39.9043
161768,347.88,171.705,77.7845
213189,443.385,273.023,56.1706
145322,442.024,202.791,92.218
26763,433.569,136.392,93.6217
136560,418.181,130.054,36.6796
51509,318.493,149.782,64.1247
33558,346.111,71.338,50.1206
156858,431.51,127.656,36.9095
90545,450.134,314.737,43.5371
1415,305.177,95.9576,96.5922
297924,146.017,333.548,92.2636
58944,450.731,155.093,54.2191
392865,430.088,220.338,22.1163
1.99189e+06,88.8417,315.321,65.0381
170395,444.393,153.23,71.5638
376329,282.261,74.0494,74.0789
112027,339.275,78.5317,58.7331
548721,433.288,76.8524,65.6932
434053,276.19,222.943,40.3819
207618,266.753,217.957,62.6127
176397,325.226,303.644,62.3676
305149,281.379,208.112,85.5676
43335,286.999,107.381,41.6159
16651,386.176,209.564,70.2635
79096,315.471,128.974,107.743
348947,407.149,254.582,87.0251
130198,406.488,316.676,88.6236
112005,317.965,124.805,74.9608
26945,357.957,224.399,60.0999
69323,440.169,180.541,72.6541
30226,226.17,175.082,62.8267
33859,312.778,283.092,84.0615
23476,403.787,233.636,72.8754
16339,423.362,475.029,107.587
705,371.999,362.557,6.58298
30123,398.168,464.405,34.2172
1.11769e+06,427.228,389.455,57.3077
100028,454.792,323.348,23.4184
